time,x-acceleration,y-acceleration,z-acceleration
11.280,0.080,-0.001,-0.985
11.300,0.081,0.009,-0.977
11.320,0.082,0.025,-0.989
11.340,0.081,0.032,-1.000
11.360,0.073,0.023,-0.989
11.380,0.061,0.003,-0.981
11.400,0.058,-0.012,-0.993
11.420,0.060,-0.008,-0.995
11.440,0.069,0.001,-0.989
11.460,0.089,0.008,-1.000
11.480,0.106,0.015,-1.012
11.500,0.117,0.023,-0.996
11.520,0.118,0.038,-0.978
11.540,0.116,0.041,-0.986
11.560,0.104,0.032,-0.989
11.580,0.092,0.018,-0.982
11.600,0.084,0.006,-0.981
11.620,0.078,-0.001,-0.988
11.640,0.072,0.004,-0.997
11.660,0.069,0.018,-0.994
11.680,0.068,0.021,-0.993
11.700,0.066,0.012,-0.993
11.720,0.060,0.002,-0.995
11.740,0.064,0.001,-0.995
11.760,0.073,0.016,-0.990
11.780,0.080,0.024,-0.989
11.800,0.082,0.020,-0.999
11.820,0.089,0.013,-1.007
11.840,0.097,0.015,-1.000
11.860,0.107,0.021,-0.991
11.880,0.108,0.018,-0.985
11.900,0.100,0.014,-0.977
11.920,0.100,0.016,-0.980
11.940,0.109,0.023,-0.991
11.960,0.104,0.023,-0.986
11.980,0.089,0.012,-0.980
12.000,0.081,0.006,-0.985
12.020,0.081,0.011,-0.992
12.040,0.079,0.019,-0.990
12.060,0.076,0.016,-0.993
12.080,0.074,0.012,-0.997
12.100,0.070,0.005,-0.992
12.120,0.070,-0.001,-0.984
12.140,0.082,0.009,-0.994
12.160,0.094,0.022,-0.998
12.180,0.100,0.026,-0.993
12.200,0.098,0.022,-0.986
12.220,0.098,0.013,-0.990
12.240,0.098,0.009,-0.992
12.260,0.095,0.011,-0.983
12.280,0.093,0.014,-0.979
12.300,0.092,0.016,-0.987
12.320,0.090,0.012,-0.993
12.340,0.083,0.011,-0.989
12.360,0.086,0.015,-0.988
12.380,0.088,0.017,-0.995
12.400,0.077,0.014,-0.998
12.420,0.068,0.007,-0.995
12.440,0.073,0.008,-0.989
12.460,0.086,0.014,-0.990
12.480,0.091,0.012,-0.985
12.500,0.083,0.003,-0.971
12.520,0.078,0.010,-0.970
12.540,0.092,0.025,-1.005
12.560,0.101,0.032,-1.026
12.580,0.088,0.019,-0.990
12.600,0.088,0.019,-0.977
12.620,0.096,0.022,-1.000
12.640,0.090,0.015,-0.992
12.660,0.083,0.014,-0.981
12.680,0.089,0.022,-0.990
12.700,0.093,0.026,-0.990
12.720,0.088,0.024,-0.991
12.740,0.084,0.014,-0.989
12.760,0.081,0.010,-0.982
12.780,0.077,0.014,-0.980
12.800,0.084,0.017,-0.993
12.820,0.089,0.020,-1.006
12.840,0.093,0.024,-1.000
12.860,0.090,0.027,-0.997
12.880,0.084,0.019,-0.988
12.900,0.082,0.014,-0.980
12.920,0.086,0.018,-0.982
12.940,0.093,0.023,-0.992
12.960,0.090,0.015,-1.000
12.980,0.082,0.011,-0.996
13.000,0.083,0.019,-0.994
13.020,0.085,0.023,-0.993
13.040,0.086,0.019,-0.990
13.060,0.089,0.020,-0.984
13.080,0.088,0.016,-0.984
13.100,0.081,0.006,-0.995
13.120,0.079,0.004,-0.999
13.140,0.085,0.019,-0.996
13.160,0.096,0.028,-1.001
13.180,0.099,0.021,-1.006
13.200,0.087,0.013,-0.976
13.220,0.080,0.001,-0.957
13.240,0.082,0.007,-0.972
13.260,0.095,0.023,-1.004
13.280,0.099,0.027,-1.015
13.300,0.089,0.017,-1.000
13.320,0.085,0.008,-0.986
13.340,0.089,0.012,-0.977
13.360,0.094,0.023,-0.982
13.380,0.098,0.025,-0.987
13.400,0.097,0.023,-0.992
13.420,0.092,0.020,-1.000
13.440,0.089,0.016,-1.002
13.460,0.087,0.012,-0.989
13.480,0.087,0.006,-0.978
13.500,0.090,0.008,-0.976
13.520,0.095,0.015,-0.984
13.540,0.096,0.012,-0.996
13.560,0.096,0.014,-0.995
13.580,0.100,0.020,-0.988
13.600,0.100,0.021,-0.989
13.620,0.096,0.015,-0.993
13.640,0.088,0.005,-0.993
13.660,0.085,0.011,-0.983
13.680,0.085,0.018,-0.980
13.700,0.091,0.023,-0.989
13.720,0.086,0.019,-0.998
13.740,0.084,0.010,-1.003
13.760,0.079,0.009,-0.996
13.780,0.078,0.011,-0.990
13.800,0.085,0.016,-0.992
13.820,0.093,0.024,-0.991
13.840,0.094,0.021,-0.984
13.860,0.095,0.017,-0.992
13.880,0.097,0.021,-1.000
13.900,0.095,0.017,-0.993
13.920,0.088,0.004,-0.979
13.940,0.088,0.001,-0.971
13.960,0.099,0.015,-0.983
13.980,0.102,0.022,-1.000
14.000,0.093,0.017,-1.000
14.020,0.090,0.015,-0.992
14.040,0.097,0.015,-0.987
14.060,0.096,0.016,-0.984
14.080,0.091,0.014,-0.986
14.100,0.090,0.013,-0.992
14.120,0.089,0.016,-0.988
14.140,0.089,0.020,-0.985
14.160,0.091,0.020,-0.994
14.180,0.091,0.017,-0.997
14.200,0.088,0.007,-0.987
14.220,0.084,-0.001,-0.979
14.240,0.086,0.009,-0.980
14.260,0.096,0.022,-0.994
14.280,0.104,0.035,-1.008
14.300,0.101,0.031,-1.003
14.320,0.090,0.011,-0.987
14.340,0.082,-0.000,-0.975
14.360,0.085,0.005,-0.982
14.380,0.091,0.009,-0.989
14.400,0.092,0.018,-0.992
14.420,0.097,0.026,-0.995
14.440,0.097,0.025,-0.994
14.460,0.092,0.015,-0.996
14.480,0.087,0.008,-0.994
14.500,0.092,0.010,-0.985
14.520,0.093,0.022,-0.978
14.540,0.099,0.028,-0.986
14.560,0.101,0.023,-0.996
14.580,0.086,0.002,-0.991
14.600,0.075,-0.005,-0.979
14.620,0.082,0.005,-0.982
14.640,0.094,0.019,-0.992
14.660,0.107,0.031,-0.993
14.680,0.113,0.043,-0.985
14.700,0.104,0.029,-0.976
14.720,0.087,0.007,-0.980
14.740,0.077,0.001,-0.990
14.760,0.075,0.010,-0.993
14.780,0.079,0.024,-1.004
14.800,0.079,0.021,-1.007
14.820,0.077,0.008,-0.995
14.840,0.078,-0.001,-0.993
14.860,0.087,0.010,-0.987
14.880,0.100,0.026,-0.985
14.900,0.114,0.039,-0.993
14.920,0.115,0.039,-0.999
14.940,0.105,0.036,-1.007
14.960,0.098,0.034,-1.012
14.980,0.097,0.036,-1.011
15.000,0.098,0.012,-1.026
15.020,0.079,0.004,-1.008
15.040,0.069,0.006,-0.976
15.060,0.088,0.003,-0.980
15.080,0.092,0.011,-1.003
15.100,0.086,0.011,-1.001
15.120,0.081,0.005,-0.963
15.140,0.085,0.023,-0.938
15.160,0.086,0.032,-0.940
15.180,0.071,0.021,-0.952
15.200,0.052,-0.000,-0.971
15.220,0.058,-0.020,-1.007
15.240,0.074,-0.023,-1.030
15.260,0.090,-0.009,-1.020
15.280,0.114,0.029,-1.020
15.300,0.111,0.045,-0.999
15.320,0.088,0.009,-0.972
15.340,0.083,-0.012,-0.963
15.360,0.090,0.008,-0.971
15.380,0.092,0.031,-0.994
15.400,0.091,0.038,-1.015
15.420,0.084,0.032,-1.016
15.440,0.087,0.010,-1.015
15.460,0.097,-0.015,-1.015
15.480,0.103,-0.024,-0.984
15.500,0.124,-0.000,-0.967
15.520,0.143,0.029,-0.971
15.540,0.162,0.040,-0.976
15.560,0.161,0.042,-0.966
15.580,0.137,0.020,-0.958
15.600,0.123,0.010,-0.966
15.620,0.124,0.011,-0.989
15.640,0.112,0.007,-1.003
15.660,0.069,0.020,-0.973
15.680,0.111,-0.005,-1.013
15.700,0.065,-0.016,-1.033
15.720,0.057,0.001,-0.964
15.740,0.069,0.006,-0.945
15.760,0.063,-0.041,-0.928
15.780,0.059,-0.097,-0.934
15.800,0.107,-0.029,-1.038
15.820,0.136,0.095,-1.088
15.840,0.109,0.087,-1.008
15.860,0.078,0.003,-1.001
15.880,0.052,-0.006,-1.026
15.900,0.092,0.016,-1.023
15.920,0.102,0.021,-1.013
15.940,0.108,0.020,-1.017
15.960,0.070,0.021,-0.988
15.980,0.089,0.003,-1.009
16.000,0.098,0.021,-1.036
16.020,0.093,0.007,-1.027
16.040,0.105,-0.003,-1.029
16.060,0.114,0.026,-1.057
16.080,0.113,0.036,-1.059
16.100,0.119,0.033,-1.036
16.120,0.102,0.011,-1.023
16.140,0.088,-0.002,-1.022
16.160,0.114,0.004,-1.061
16.180,0.110,0.014,-1.036
16.200,0.130,0.016,-1.008
